from_latitude,from_longitude,Delivery_location_latitude,Delivery_location_longitude,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,Time_taken(hours)
22.745049,75.892471,22.765049,75.912471,11:45:00,conditions Sunny,High ,2.0,motorcycle ,0,No ,14
12.913041,77.683237,13.043041,77.813237,19:50:00,conditions Stormy,Jam ,2.0,scooter ,1,No ,23
12.914264,77.6784,12.924264,77.6884,08:45:00,conditions Sandstorms,Low ,0.0,motorcycle ,1,No ,16
11.003669,76.976494,11.053669,77.026494,18:10:00,conditions Sunny,Medium ,0.0,motorcycle ,1,No ,11
12.972793,80.249982,13.012793,80.289982,13:45:00,conditions Cloudy,High ,1.0,scooter ,1,No ,20
17.431668,78.408321,17.461668,78.438321,21:30:00,conditions Cloudy,Jam ,0.0,motorcycle ,1,No ,16
23.369746,85.33982,23.479746,85.44982,19:30:00,conditions Fog,Jam ,1.0,scooter ,1,No ,30
12.352058,76.60665,12.482058,76.73665,17:30:00,conditions Cloudy,Medium ,2.0,motorcycle ,1,No ,22
17.433809,78.386744,17.563809,78.516744,21:05:00,conditions Stormy,Jam ,0.0,motorcycle ,1,No ,24
30.327968,78.046106,30.397968,78.116106,22:10:00,conditions Fog,Jam ,2.0,motorcycle ,3,No ,36
10.003064,76.307589,10.043064,76.347589,15:05:00,conditions Stormy,High ,1.0,motorcycle ,1,No ,13
18.56245,73.916619,18.65245,74.006619,17:40:00,conditions Sandstorms,Medium ,1.0,scooter ,1,No ,11
30.899584,75.809346,30.919584,75.829346,09:30:00,conditions Sandstorms,Low ,0.0,motorcycle ,0,No ,10
26.463504,80.372929,26.593504,80.502929,20:05:00,conditions Fog,Jam ,1.0,scooter ,1,No ,31
19.176269,72.836721,19.266269,72.926721,20:35:00,conditions Sandstorms,Jam ,2.0,electric_scooter ,1,No ,10
12.311072,76.654878,12.351072,76.694878,15:10:00,conditions Windy,High ,1.0,scooter ,1,No ,23
18.592718,73.773572,18.702718,73.883572,20:40:00,conditions Sandstorms,Jam ,2.0,motorcycle ,1,No ,30
17.426228,78.407495,17.496228,78.477495,20:50:00,conditions Cloudy,Jam ,0.0,motorcycle ,NaN ,No ,31
22.552672,88.352885,22.582672,88.382885,21:30:00,conditions Windy,Jam ,0.0,motorcycle ,1,No ,5
18.563934,73.915367,18.643935,73.995367,20:25:00,conditions Sandstorms,Jam ,0.0,motorcycle ,2,No ,26
23.357804,85.325146,23.487804,85.455146,22:45:00,conditions Sandstorms,Low ,2.0,electric_scooter ,0,No ,16
11.003669,76.976494,11.013669,76.986494,08:30:00,conditions Sandstorms,Low ,1.0,motorcycle ,1,No ,10
12.986047,80.218114,13.116047,80.348114,19:45:00,conditions Windy,Jam ,2.0,scooter ,1,No ,29
19.221315,72.862381,19.261315,72.902381,12:30:00,conditions Cloudy,High ,1.0,motorcycle ,1,No ,24
13.005801,80.250744,13.115801,80.360744,18:50:00,conditions Sunny,Medium ,2.0,electric_scooter ,1,No ,5
26.849596,75.800512,26.879596,75.830512,20:40:00,conditions Stormy,Jam ,0.0,motorcycle ,0,No ,8
21.160522,72.771477,21.250522,72.861477,23:30:00,conditions Cloudy,Low ,1.0,scooter ,0,No ,28
12.934179,77.615797,13.024179,77.705797,21:35:00,conditions Windy,Jam ,0.0,motorcycle ,1,No ,37
18.51421,73.838429,18.62421,73.948429,23:45:00,conditions Windy,Low ,2.0,electric_scooter ,0,No ,2
11.022477,76.995667,11.052477,77.025667,22:50:00,conditions Sandstorms,Low ,2.0,motorcycle ,1,No ,16
21.160437,72.774209,21.210437,72.824209,22:40:00,conditions Stormy,Low ,0.0,motorcycle ,1,No ,12
15.51315,73.78346,15.56315,73.83346,23:35:00,conditions Sandstorms,Low ,0.0,motorcycle ,0,No ,11
15.561295,73.749478,15.601295,73.789478,13:40:00,conditions Cloudy,High ,1.0,scooter ,1,No ,15
0.0,0.0,0.11,0.11,21:45:00,conditions Stormy,Jam ,1.0,scooter ,0,No ,25
18.563934,73.915367,18.693935,74.045367,22:45:00,conditions Cloudy,Low ,2.0,scooter ,1,No ,20
18.55144,73.804855,18.62144,73.874855,19:10:00,conditions Sunny,Medium ,1.0,motorcycle ,1,No ,12
18.593481,73.785901,18.633481,73.825901,14:25:00,conditions Windy,High ,1.0,scooter ,0,No ,0
21.173343,72.792731,21.183343,72.802731,11:10:00,conditions Sandstorms,Low ,2.0,scooter ,1,No ,9
17.451976,78.385883,17.471976,78.405883,09:55:00,conditions Sunny,Low ,2.0,scooter ,1,No ,1
12.972532,77.608179,12.992532,77.628179,08:55:00,conditions Stormy,Low ,2.0,scooter ,0,No ,1
12.972532,77.608179,13.042532,77.678179,23:10:00,conditions Fog,Low ,1.0,motorcycle ,1,No ,18
13.064181,80.236442,13.134181,80.306442,17:30:00,conditions Cloudy,Medium ,1.0,motorcycle ,1,No ,23
19.121999,72.908493,19.201999,72.988493,18:35:00,conditions Cloudy,Medium ,1.0,scooter ,1,No ,23
21.149569,72.772697,21.239569,72.862697,19:50:00,conditions Sandstorms,Jam ,0.0,motorcycle ,3,No ,42
19.091458,72.827808,19.201458,72.937808,19:25:00,conditions Stormy,Jam ,1.0,scooter ,1,No ,12
22.539129,88.365507,22.559129,88.385507,11:00:00,conditions Fog,Low ,1.0,scooter ,1,No ,6
19.221315,72.862381,19.281315,72.922381,21:45:00,conditions Sunny,Jam ,2.0,electric_scooter ,0,No ,1
12.970324,77.645748,13.030324,77.705748,19:15:00,conditions Windy,Medium ,1.0,scooter ,1,No ,15
13.064181,80.236442,13.104181,80.276442,16:55:00,conditions Cloudy,Medium ,0.0,motorcycle ,1,No ,16
21.175975,72.795503,21.185975,72.805503,11:40:00,conditions Sunny,High ,2.0,scooter ,1,No ,8
23.369746,85.33982,23.409746,85.37982,15:15:00,conditions Fog,Medium ,1.0,motorcycle ,1,No ,6
12.914264,77.6784,13.024264,77.7884,22:55:00,conditions Stormy,Low ,2.0,scooter ,1,No ,13
0.0,0.0,0.03,0.03,22:25:00,conditions Cloudy,Low ,0.0,motorcycle ,0,No ,5
11.003681,76.975525,11.083681,77.055525,20:55:00,conditions Sandstorms,Jam ,0.0,motorcycle ,1,No ,26
21.173343,72.792731,21.233343,72.852731,23:05:00,conditions Cloudy,Low ,2.0,motorcycle ,0,No ,6
10.96185,76.971082,11.05185,77.061082,18:00:00,conditions Sunny,Medium ,0.0,motorcycle ,0,No ,9
27.165108,78.015053,27.255108,78.105053,23:00:00,conditions Sunny,Low ,1.0,motorcycle ,1,No ,17
0.0,0.0,0.08,0.08,20:50:00,conditions Fog,Jam ,2.0,scooter ,1,No ,39
26.88842,75.800689,26.89842,75.810689,09:40:00,conditions Windy,Low ,2.0,scooter ,0,No ,10
0.0,0.0,0.06,0.06,20:20:00,conditions Cloudy,Jam ,1.0,motorcycle ,1,No ,20
26.913987,75.752891,26.993987,75.832891,22:35:00,conditions Sandstorms,Low ,1.0,scooter ,0,No ,8
12.3085,76.665808,12.3385,76.695808,22:00:00,conditions Sunny,Jam ,2.0,scooter ,0,No ,12
21.183434,72.814492,21.253434,72.884492,22:55:00,conditions Cloudy,Low ,2.0,scooter ,1,No ,24
19.254567,72.848923,19.364567,72.958923,23:55:00,conditions Sandstorms,Low ,0.0,motorcycle ,0,No ,14
